Nome: notepad.exe Foi removido as: 2025-10-16T15:30:15.975710400
Nome: notepad.exe foi removido às: 2025-10-16T15:44:02.132402700
Nome: notepad.exe foi removido às: 2025-10-16T15:44:02.136399700
Nome: notepad.exe foi removido às: 2025-10-16T15:48:09.454846500
Nome: notepad.exe foi removido às: 2025-10-16T15:48:12.549883
Nome: notepad.exe foi removido às: 2025-10-16T17:56:11.394848400
Nome: notepad.exe foi removido às: 2025-10-16T17:56:23.729987500
Nome: notepad.exe foi removido às: 2025-10-16T17:56:26.819813500
Nome: notepad.exe foi removido às: 2025-10-16T17:56:29.906221700
Nome: notepad.exe foi removido às: 2025-10-16T17:56:32.994198400
Nome: notepad.exe foi removido às: 2025-10-16T18:30:34.354127100
Nome: notepad.exe foi removido às: 2025-10-16T18:30:37.440427900
Nome: notepad.exe foi removido às: 2025-10-16T18:30:43.607417200
Nome: chrome.exe foi removido às: 2025-10-16T18:31:29.158125500
Nome: notepad.exe foi removido às: 2025-10-16T18:31:29.163118300
Nome: notepad.exe foi removido às: 2025-10-16T18:31:29.165119600
Nome: chrome.exe foi removido às: 2025-10-16T18:32:19.466644400
Nome: chrome.exe foi removido às: 2025-10-16T18:32:28.716695500
Nome: chrome.exe foi removido às: 2025-10-16T18:32:37.966167500
Nome: notepad.exe foi removido às: 2025-10-16T18:57:05.508586600
Nome: notepad.exe foi removido às: 2025-10-16T18:59:00.748841800
Nome: notepad.exe foi removido às: 2025-10-16T20:21:40.720964600
Nome: notepad.exe foi removido às: 2025-10-16T20:59:39.575276600
Nome: chrome.exe foi removido às: 2025-10-16T21:00:54.355801600
Nome: chrome.exe foi removido às: 2025-10-17T07:21:33.707492600
Nome: notepad.exe foi removido às: 2025-10-17T07:21:35.795336300
Nome: notepad.exe foi removido às: 2025-10-17T08:11:25.326622300
Nome: notepad.exe foi removido às: 2025-10-17T08:11:35.692069300
Nome: notepad.exe foi removido às: 2025-10-17T08:11:39.854837200
Nome: notepad.exe foi removido às: 2025-10-17T08:11:41.934752
Nome: notepad.exe foi removido às: 2025-10-17T08:11:44.017960900
Nome: notepad.exe foi removido às: 2025-10-17T08:11:46.092316
Nome: notepad.exe foi removido às: 2025-10-17T08:11:48.188483300
Nome: notepad.exe foi removido às: 2025-10-17T08:11:50.267252600
Nome: notepad.exe foi removido às: 2025-10-17T08:11:54.426899600
Nome: notepad.exe foi removido às: 2025-10-17T08:11:56.503926700
Nome: notepad.exe foi removido às: 2025-10-17T08:11:58.588261500
Nome: notepad.exe foi removido às: 2025-10-17T08:12:00.669686300
Nome: notepad.exe foi removido às: 2025-10-17T08:13:11.330886800
Nome: notepad.exe foi removido às: 2025-10-17T08:13:12.906266400
Nome: notepad.exe foi removido às: 2025-10-17T08:13:14.485140300
Nome: notepad.exe foi removido às: 2025-10-17T08:13:16.057744
Nome: notepad.exe foi removido às: 2025-10-17T10:29:25.128816500
Nome: notepad.exe foi removido às: 2025-10-17T10:29:28.294863800
Nome: notepad.exe foi removido às: 2025-10-17T10:29:29.903162700
Nome: notepad.exe foi removido às: 2025-10-17T16:52:26.238759800
Nome: notepad.exe foi removido às: 2025-10-17T16:52:32.612923300
Nome: notepad.exe foi removido às: 2025-10-18T10:39:30.160789700
